OBJECTID,key_,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territorial,tramo,sector,administrador,amv,superficie,calzada,ruta,fuente,fecha_fuente,fecha_actualiz,concesion,observacion_invias,estado,observacion_igac,reversion,pr_ini_con,pr_fin_con,ruleid_1,override,GlobalID,Shape__Length
85,3,65MTC0,65MTC,0,0,3,100,16,Alternas a la Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Santander,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 0-3+0100,,0+0,3+100,1,,4d706170-356e-4d04-9895-7316a31745a0,3067.66999211266
86,1,45100,4510,0,0,0,170,24,Troncal del Magdalena,Viaducto Honda - Entrada Puente Puerto Salgar,2,,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 33- 34,,0+0,0+170,2,,38d5b5ba-34fb-453b-99f9-79609c51dc3c,173.296876784269
87,1,65030,6503,0,0,96,763,06,Troncal Villagarzon - Saravena,Florencia - Puerto Rico,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,96+763,1,,9304aff2-b636-4b2d-866b-170c1798a22c,96251.0663995058
88,1,451846,4518,46,764,98,0,15,Troncal del Magdalena,Paso Nacional por Aracataca - Ye de Ciénaga,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,46+764,98+0,2,,fbe4c480-41d2-4432-be60-d756977edd24,52414.6778586157
89,1,90071,9007,1,1794,94,785,15,Transversal del Caribe,Barranquilla - Santa Marta,3,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 94+0785 (Ramon Lobo),rev,,,1+1794,94+785,3,,e153fc4d-9fc9-4bc4-bf78-0c73f407cccc,132369.78517243
90,1,45180,4518,0,0,35,725,15,Troncal del Magdalena,Río Ariguaní - Paso Nacional por Aracataca,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,35+725,2,,ab386c3c-6ec8-4bc0-807a-b0b2b831ddbb,36520.5410826978
91,1,600837,6008,37,0,73,0,04,Transversal Puerto Boyaca - Monterrey,Sáchica - Tunja,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,37+0,73+0,1,,092d8382-3c44-4a2d-a31d-4f9e16744009,35433.5921374371
92,1,50060,5006,0,0,82,1000,05,Transversal Las Animas - Bogotá,Puente La Libertad - Fresno,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,82+1000,1,,9f6bea43-e487-4e87-9c48-e51604f65031,82835.7258299075
93,1,65120,6512,0,0,103,287,07,Troncal Villagarzon - Saravena,Monterrey - Yopal,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,VILLAVICENCIO - YOPAL (ENTREGADA 8-SEPT-2015),,,,,0+0,103+287,2,,ba65e544-8b27-4a35-8caf-912077221bf4,103069.91821573
94,1,45TLB0,45TLB,0,0,4,120,24,Alternas a la Troncal del Magdalena,Variante Espinal,2,,,1,,Google Maps,,2016/03/04 00:00:00+00,,,3d_mal_central,,,0+0,4+120,2,,d8d3bb68-9951-43fb-bbd8-9d381ff95e1b,4163.83663442235
95,3,65MTD0,65MTD,0,0,4,110,16,Alternas a la Transversal Buga - Puerto Inirida,Paso Nacional por Puerto Aljure,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,4+110,1,,5e841e33-0195-4758-9db7-3dc951088e12,4160.90915228926
96,1,65MTF0,65MTF,0,0,1,780,16,Alternas a la Troncal Villagarzon - Saravena,"Variante de Restrepo
Variante de Restrepo",2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,VILLAVICENCIO - YOPAL (ENTREGADA 8-SEPT-2015),,,,,0+0,1+780,2,,d48a1a8f-205f-47f1-9ee4-1c16131b37ed,1791.90613180916
97,1,45A0411,45A04,11,700,16,100,12,Troncal Central,Paso Nacional por Cajicá,1,1,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,11+700,16+100,1,,815866d2-ceb4-4ecc-a565-22c9525677a1,4581.57848122307
98,2,65A020,65A02,0,0,109,821,16,Troncal Villagarzon - Saravena,La Uribe - Ye de Granada,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,109+821,1,,9fa89f1a-f608-4de5-a601-9baac19723f7,110909.197009076
99,1,66040,6604,0,0,150,0,18,Transversal Tribuga - Arauca,La Lejía - Saravena,1,4,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,150+0,1,,396990b6-b173-4422-9592-46b05592e8bb,150286.430565382
100,1,550571,5505,68,500,131,500,18,Troncal Central del Norte,Pamplona - Los Patios,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,68+500,131+500,2,,ff3faacd-f2df-484f-866d-deabba74a433,63004.7771108937
101,1,60060,6006,0,0,95,80,04,Transversal Puerto Boyaca - Monterrey,Cruce Ruta 45 (Dos y Medio) - Otanche,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act seg 37 al 47,,0+0,95+80,1,,801cac40-12fe-4664-bda5-cbce22cfe342,95415.0015861336
102,3,65AMTB0,65AMTB,0,0,2,1012,16,Alternas a la Troncal Villagarzon - Saravena,Accesos al Puente Guillermo León Valencia,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,2+1012,1,,66b5ed86-d460-4f13-84d2-cbcda98d7c93,2851.2631484868
103,1,49026,4902,6,199,75,237,13,Troncal del Carbon,Río Pereira - Buenavista,1,1,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,APP CESAR - GUAJIRA (ENTREGADA 12-AGT-2015),PR inicial y final  6+0199 y 75+0237 (Ramón Lobo),rev,"Act. seg 6+0210-7; 32-33; 37-8; 57-58",,6+199,75+237,1,,5e3bf8f0-afd6-4785-9158-50b574c1dd3b,72975.0562136687
104,2,65AMTC0,65AMTC,0,0,1,300,16,Alternas a la Troncal Villagarzon - Saravena,Acceso a Granada,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 0-1+0300,,0+0,1+300,1,,f5f62804-4eb5-460d-aafa-7a22daf3f2c0,1352.2121218694
105,1,45TLA0,45TLA,0,0,5,800,24,Troncal del Magdalena,Variante El Guamo,2,,,1,,Google Maps,,2015/12/09 00:00:00+00,,,3d_mal_central,,,0+0,5+800,2,,7ac76298-4df6-4f4f-84f5-15261d53e7b7,5836.17912183621
106,1,70090,7009,0,0,57,600,18,Acceso a Cucuta y Venezuela,Sardinata - El Zulia,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,57+600,1,,52ebc76e-215c-42c3-8c70-7f6dba4d0701,58283.3420385896
107,1,900449,9004,49,453,65,937,23,Transversal del Caribe,Coveñas  - San Onofre,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,APP PRIVADA ANTIOQUIA - BOLÍVAR (ENTREGA 26-NOV-2015),,,,,49+453,65+937,2,,46ed88a6-976e-440f-9a5e-aef9b4c37f03,16781.0033595219
108,1,45031,4503,1,600,66,0,19,Troncal del Magdalena,Mocoa - San Juan de Villalobos,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),,,,,1+600,66+0,2,,f283fb44-172c-4bc0-b63a-bf9353dbe038,63800.6515062145
109,3,26CC0418,26CC04,18,0,25,0,08,Circuitos Ecoturisticos Huila - Cauca,Tumbichucué - Calderas,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 18-25,,18+0,25+0,1,,7e91784c-63f1-4e67-b676-c0cb0ce5bccb,7289.73635402776
110,3,26CC070,26CC07,0,0,43,0,08,Alternas a la Transversal Huila - Cauca,Inzá - Pedregal - Juntas,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,"Act. seg 0-5; 8-12; 19-20; 31-34",,0+0,43+0,1,,ca353d7e-c077-4d68-b83d-18ca078cf9a1,42775.4588142851
111,2,26CC03_20,26CC03-2,0,0,75,0,08,Circuitos Ecoturisticos Huila - Cauca,Tierracruz - Naranjal,1,4,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2020/08/24 00:00:00+00,,,,"Act. seg 8-9; 14-15; 16-17; 20-24 ;36-37; 38-39; 45-46; 48-50; 74-75",,0+0,75+0,1,,53effb9c-9fe0-445c-a068-17d5a1dbfb7c,72319.2663925757
112,2,65AMTA0,65AMTA,0,0,3,1100,16,Alternas a la Troncal Villagarzon - Saravena,Paso por Puerto Caldas,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,3+1100,1,,af823504-b91e-403f-8bbd-63d653f57ae7,3600.19570859267
113,2,45HL011,45HL01,1,350,23,150,14,Alternas a la Troncal del Magdalena,Hobo - Yaguará (Inspección de Letrán),1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,1+350,23+150,1,,b8d4ecf4-9caa-41e7-aaae-075a224c1783,21886.4587354436
114,1,40050,4005,0,0,0,211,12,Transversal Buenaventura - Villavicencio - Puerto Carreño,Puente Mariano Ospina Perez,2,,,1,,Google Maps,2016/01/01 00:00:00+00,2016/06/26 00:00:00+00,,,,,,0+0,0+211,2,,1fe29754-fc3b-46ed-99f9-36f98994d0d0,211.760984414748
115,1,40070,4007,0,654,78,222,16,Transversal Buenaventura - Villavicencio - Puerto Carreño,Villavicencio - Paso por el Puente sobre el Río La Balsa -Puerto Lopez,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,MALLA VIAL DEL META 2015. (ENTREGADO 9-JUN-2015),pr final 78+0305 Ramón Lobo,,,,0+654,78+222,2,,1bd6aa2a-e74b-4d0d-93b0-a2d365d101c2,77957.1668977537
116,1,451898,4518,98,0,100,289,15,Troncal del Magdalena,Ye de Ciénaga (Lado Manantial) - Intersección Ruta 90,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg  100 - 100+0289,,98+0,100+289,1,,f5f3fa89-ff61-42e5-a302-069d3b6917fd,2276.58395851038
117,1,24020,2402,0,0,100,368,14,Transversal Huila - Cauca,Candelaria - Laberinto,1,2,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,"Act. seg 47-49; 52-54",,0+0,100+368,1,,786601cc-b386-4f96-9ba2-ab064ec8cf66,101194.889068431
118,1,45010,4501,0,0,109,0,19,Troncal del Magdalena,Puente Internacional San Miguel - Santana,1,1,,2,,Google Maps (DC Criterio Técnico),2016/06/15 00:00:00+00,2016/06/27 00:00:00+00,,,3d_mal_oeste,"Act. seg 17-18; 27-30; 43-47",,0+0,109+0,1,,d93b7099-ca50-46d7-a227-f3c03dce1ede,103259.113796759
119,1,500182,5001,82,0,130,0,10,Transversal Tribuga - Arauca,Río Pató (El Afirmado) - La Ye (Las Animas),1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,82+0,130+0,1,,c429de1b-ac60-4a65-bf4f-7c6c59fbfac4,47854.669192415
120,1,50030,5003,0,0,79,0,21,Transversal Las Animas - Bogotá,Santa Cecilia - Asia,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,pr final 78+0500 en Ramón Lobo,,Act. seg 0-12,,0+0,79+0,1,,a135aa1f-7db1-4162-b045-42c9c975ea90,77252.1166259071
121,1,45020,4502,0,0,60,300,19,Troncal del Magdalena,Santana - Ye de Urcusique,2,,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,SANTANA - MOCOA - NEIVA (ENTREGADA 23-SEPT-2015),,,"Act. seg 24-25; 42-45; 52-53",,0+0,60+300,2,,7a853969-7976-41e5-b19c-29ec7956813d,60638.5484313044
122,1,250679,2506,79,578,87,725,21,Troncal de Occidente,Cartago - Cerritos,1,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/07/14 00:00:00+00,,,,,,79+578,87+725,1,,27f07253-098d-4ed1-8a71-7bd3676ef2f4,17893.7585678834
123,1,25NRD0,2501,0,40,83,0,17,Troncal de Occidente,Puente internacional de Rumichaca - San Juan de Pasto,2,,,1,,Google Maps,,2015/12/09 00:00:00+00,,,3d_mal_oeste,,,0+40,83+0,2,,bb5b42bb-6138-40fc-a5b9-c34720d605c6,85616.324660465
124,1,25130,2513,0,0,2,780,11,Troncal de Occidente,Paso Nacional por Caucasia,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,2+780,1,,c096272d-7d8c-4a6b-8ef6-8c64e86fa4ff,2804.27971682835
125,1,90100,9010,0,0,88,0,13,Transversal del Caribe,Riohacha - Paraguachón,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,88+0,2,,ab81d43e-6b7c-4c51-a5d6-343e053df9ab,89390.6093294722
126,4,45A060,45A06,0,0,125,800,22,Troncal Central,Puente Nacional - San Gil,1,5,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,"Revisar con Ramón Lobo PR 9+0070 a 9+0274, traslape con 6208",rev,,,0+0,125+800,1,,fa1bbf8a-df80-4f87-ac4c-5cd7067df8d2,126028.223274193
127,1,5008A36,5008A,36,780,58,920,12,Transversal Las Animas - Bogotá,Los Alpes - Madrid,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR inicial 33+0780 (Ramón Lobo),rev,,,36+780,58+920,2,,b857026b-070b-469c-ba1e-3aa2a9fc5c79,36108.8915817287
128,4,45110,4511,0,0,149,484,22,Troncal del Magdalena,Río Ermitaño - La Lizama,1,6,,2,,Google Maps,2016/01/01 00:00:00+00,2016/09/02 00:00:00+00,,,,,,0+0,149+484,1,,8efc4c81-472c-4880-ad5d-a7e6cf2cd038,184548.809333409
129,1,400562,4005,62,980,122,0,12,Transversal Buenaventura - Villavicencio - Puerto Carreño,Fusagasugá - Silvania - Bogotá (Bosa),2,,,2,,"Google Maps, WFS ANI.",2016/01/01 00:00:00+00,2016/06/27 00:00:00+00,,,3d_mal_central,,,62+980,122+0,2,,b40cd897-e96d-4a12-b523-2dd8fc0d2e3c,112533.435925728
130,1,251525,2515,25,0,108,250,03,Troncal de Occidente,Puerta de Hierro - Carreto,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2020/07/14 00:00:00+00,,PR final 108+0695 (Ramón Lobo),rev,,,25+0,108+250,2,,0e241fef-2311-456a-9982-070d127ad48c,175263.695897536
131,1,25160,2516,0,0,54,0,02,Troncal de Occidente,Calamar - Palmar de Varela,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,PTA. HIERRO - PALMAR DE VARELA (ENTREGADA 19-AGT-2015),,,,,0+0,54+0,2,,aa2e0967-d1aa-420a-a251-7471f4580d60,55544.8968480462
132,1,25BL020,25BL02,0,0,25,93,03,Acceso a Cartagena,Carreto - Cruz del Viso,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,PTA. HIERRO - PALMAR DE VARELA (ENTREGADA 19-AGT-2015),,,,,0+0,25+93,2,,95db2aec-b05f-465a-9fd5-ca98b2b176f5,25668.666627721
133,1,25SC010,25SC01,0,0,18,335,23,Acceso a Sincelejo,Sincelejo - Toluviejo,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,18+335,2,,0a8293d3-0020-4907-8fd2-276e2ab36ad1,36337.030850292
134,1,43130,4313,0,0,21,0,15,Transversal Depresion Momposina,El Banco  - San José,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,21+0,1,,2e394401-31be-4fac-b935-2737b8c3cc07,21226.5963439176
135,2,43CS020,43CS02,0,0,31,860,09,Transversal Depresion Momposina,Ye de Arjona - Cuatrovientos,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,(final Carto 31+694) PR final  31+860 Ramon Lobo,,,,0+0,31+860,1,,5f3370e6-929c-4212-a97c-99770aeac100,32278.2214480218
136,3,55BY110,55BY11,0,0,6,953,04,Transversal San Gil - Mogotes - La Rosita,Santa Rosita - Límites Departamento de Boyacá,1,5,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,6+953,1,,48e967f5-f1ff-4a1b-b2d7-973c9016833e,6982.67644296949
137,3,55BY116,55BY11,6,953,32,0,22,Transversal San Gil - Mogotes - La Rosita,Limites Departamento de Boyacá - Onzaga,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,6+953,32+0,1,,958518ec-c14d-482b-b056-d36cd1bbc64b,23296.7342673566
138,1,62059,6205,9,700,53,0,01,Transversal Tribuga - Arauca,Barbosa - Cisneros,2,,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,Entregada 9 de marzo de 2016,,,"Act. seg 18 - 19; 23-25",,9+700,53+0,2,,8ff39ef7-b79c-42c5-a59b-563ec6232321,43758.7369545104
139,1,620347,6203,59,635,115,17,01,Troncal de Uraba,Cañasgordas - Santafé de Antioquia,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,MAR 1 (ENTREGADA 15-OCT-2015),PR inicial 59+0635 (Ramón Lobo),rev,,,59+635,115+17,2,,a843123d-9132-4958-a4a5-1d190a71637a,54488.2068239624
140,1,62040,6204,0,0,16,0,01,Troncal de Uraba,Santafé de Antioquia - Puente Aurra,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,MAR 1 (ENTREGADA 15-OCT-2015),,,,,0+0,16+0,2,,cc29b831-22c8-482a-87b0-f732ac51e59c,16157.9595734635
141,1,90BLC0,90BLC,0,0,9,130,03,Alternas a la Transversal del Caribe,Variante de Cartagena y accesos,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 9+0000 en Ramón Lobo,,,,0+0,9+130,2,,50e4250e-b954-4ce8-8cd2-aaf7d8f3fdf5,17700.9047265555
142,2,60070,6007,0,0,32,0,04,Transversal Puerto Boyaca - Monterrey,Otanche - Río Minero,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,32+0,1,,96e2d202-94e8-476f-987d-3cdfb9259a1f,32093.0723580354
143,1,451835,4518,35,725,46,764,15,Troncal del Magdalena,Paso Nacional por Aracataca,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,35+725,46+764,1,,69919346-7e2e-44f7-bd84-ed5450e63a62,11321.0912734515
144,3,50CN0119,50CN01,19,0,35,490,12,Circuito de las Provincias de Rionegro y Bajo Magdalena,Caparrapí - La Aguada,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,19+0,35+490,1,,15303b89-c105-436f-af63-0dc38a5d79e5,16792.2527894787
145,1,25120,2512,0,0,61,276,01,Troncal de Occidente,Tarazá - Caucasia,1,3,,2,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 62-63,,0+0,61+276,1,,382ea37e-bcd4-43ff-bc32-0e0a8d7c0716,61296.3145542524
146,2,55STA0,55STA,0,0,2,215,22,Troncal Central del Norte,Variante de Concepción,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,2+215,1,,08bae756-115d-4a78-ad56-9b8c0cb52d11,2202.79918307551
147,2,27020,2702,0,0,63,1505,02,Paralela del Rio Magdalena,Salamina - Palermo,1,1,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,"Act. seg 29-30; 58-60; 63-65",,0+0,63+1505,1,,b32af6e7-90fb-49e2-a37f-2e1c7d881c22,62626.6360763171
148,1,40030,4003,0,0,49,800,20,Transversal Buenaventura - Villavicencio - Puerto Carreño,Armenia - La Línea,1,1,1,2,40,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,APP RUTA DEL PRIVILEGIO (ENTREGA 1-DIC-2015),,,,,0+0,49+800,1,,863cb36e-cbaa-43f8-b96b-e37b3caec774,50653.3506242229
149,2,74CR020,74CR02,0,0,55,0,11,Transversal del Caribe,Santa Lucía - Moñitos,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,55+0,1,,fe5ae795-3c96-4ef3-9b11-1f57357525b2,55864.7694834253
150,1,90010,9001,0,0,43,773,01,Transversal del Caribe,Turbo - Necoclí,2,,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,43+773,2,,55cd0ac2-9ca6-41e4-98bc-ec29d970f41c,46368.2563034858
151,2,90030,9003,0,0,28,0,11,Transversal del Caribe,Moñitos - San Bernardo del Viento,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,28+0,1,,5fe12d2f-931d-4baf-b9d7-0c2ce7a3f52d,27881.395942105
152,1,90045,9004,5,850,23,300,11,Transversal del Caribe,Lorica - Coveñas,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,APP PRIVADA ANTIOQUIA - BOLÍVAR (ENTREGA 26-NOV-2015),,,,,5+850,23+300,2,,376c9167-915e-4204-826c-c955d0093a26,17287.6427303164
153,1,50020,5002,0,0,50,0,10,Transversal Las Animas - Bogotá,Las Animas - Mumbú,1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,50+0,1,,4f48bd78-e540-4192-bd92-893b736abf65,48849.8120950783
154,2,55NS0825,55NS08,25,0,33,0,18,Conexiones Troncal Central - Troncal Central del Norte,San Cayetano - Cornejo,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,25+0,33+0,1,,58732d2a-986e-477b-96af-3d58ae2a12a5,8193.46611979091
155,1,560149,5601,49,0,103,0,01,Circuito Medellin - Valle de Rionegro,La Unión - Sonsón,1,2,,2,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,49+0,103+0,1,,bf1a00f7-be90-4878-98cc-ffbc7b843bb9,55409.1488527546
156,1,23100,2310,0,0,49,0,11,Acceso a Monteria,Planeta Rica - Montería,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,49+0,2,,4369e912-686e-40fa-a5c0-6daa3fe1049d,50311.8083238661
157,1,25090,2509,0,0,54,0,01,Troncal de Occidente,La Pintada - Primavera,2,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,54+0,2,,1ad2389a-d732-495c-9efd-082dd4af117c,53611.704599585
158,1,251052,2510,52,474,87,1295,01,Troncal de Occidente,Hoyo Rico - Los Llanos,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,52+474,87+1295,1,,9fcb0511-48e4-4561-86ec-f77ba219e218,36017.4094453373
159,1,25110,2511,0,0,124,705,01,Troncal de Occidente,Los Llanos - Tarazá,1,3,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,PR final 124+0702 (Ramon Lobo),rev,,,0+0,124+705,1,,9263dd33-a03a-42db-a43e-c2c6be2590e9,125696.712481139
160,1,25140,2514,0,0,52,0,11,Troncal de Occidente,Planeta Rica - La Ye,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,0+0,52+0,1,,5d89674c-62df-43db-bb87-9ced22189e25,52666.8406862846
161,1,700957,7009,57,600,66,0,18,Acceso a Cucuta y Venezuela,El Zulia - Cúcuta,1,,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,57+600,66+0,1,,84cd21aa-8cde-4256-90ba-08f4b9bc9b6c,8589.44661627196
162,1,780628,7806,28,0,45,0,09,Transversal Depresion Momposina,Tamalameque - El Burro,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,28+0,45+0,1,,8eb4e42c-230a-4486-b4cf-d2cc504e3d65,17205.5995819746
163,1,62090,6209,0,0,64,0,04,Transversal del Carare,Barbosa - Tunja,1,2,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 21al 27,,0+0,64+0,1,,10e79e86-9c40-4c5e-b539-7d8191f2bd45,63420.9020490507
164,1,251363,2513,62,0,66,894,11,Troncal de Occidente,Paso Nacional por Planeta Rica,1,2,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,62+0,66+894,1,,147254af-c1fa-4ce3-ada0-52871f3537c9,4940.02539306446
165,1,900465,9004,65,937,93,683,23,Transversal del Caribe,Coveñas  - San Onofre (Incluye pasos Nacionales por Toluviejo y El Pueblito),1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,65+937,93+683,1,,dc33145c-3a88-4c5a-a045-ccd6136285f5,28150.0653200335
166,1,7009A70,7009A,70,0,75,0,18,Conexiones Troncal Central - Troncal Central del Norte,Cornejo - Zulia,1,1,,1,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00,,,,,,70+0,75+0,1,,bacd3fc5-8d2f-4aa5-9c2b-8d50b86d385f,4935.64053431745
